date,PRICE,IV,HV10,HV20,HV30,Spread,Spread_z
2022-10-21,374.2900085449219,29.690000534057617,26.088375412940675,28.575800092248294,28.248725707832484,1.4412748262251327,-1.2794596050288103
2022-10-24,378.8699951171875,29.850000381469727,25.729062259992425,28.546871104423527,28.310640975015772,1.5393594064539542,-1.3154030348410939
2022-10-25,384.9200134277344,28.459999084472656,25.40782235668318,28.88784053345136,25.958480849595748,2.501518234876908,-0.8925088412868409
2022-10-26,382.0199890136719,27.280000686645508,25.93222118293787,28.441011630549728,25.99475739837851,1.2852432882669973,-1.3898960178026436
2022-10-27,379.9800109863281,27.389999389648438,24.35203112303951,27.362855263958185,25.849201759739866,1.540797629908571,-1.2687562784122437
2022-10-28,389.0199890136719,25.75,21.345032340360067,27.483521914183996,26.5466434777222,-0.7966434777221991,-2.191581994998253
2022-10-31,386.2099914550781,25.8799991607666,20.44834675713314,26.556587447260632,26.537660935884066,-0.6576617751174645,-2.069383324268534
2022-11-01,384.5199890136719,25.809999465942383,20.586447442278775,24.608308758191836,26.35840724280375,-0.5484077768613673,-1.9365619447177103
2022-11-02,374.8699951171875,25.860000610351562,24.456145586121565,26.228229288097843,26.886691583776827,-1.0266909734252643,-2.0205648621063785
2022-11-03,371.010009765625,25.299999237060547,24.673938994548653,26.22730424619764,26.94130299418292,-1.6413037571223725,-2.150993873876511
2022-11-04,376.3500061035156,24.549999237060547,22.80466263847572,24.58647861186288,26.79155312074381,-2.241553883683263,-2.244175994504597
2022-11-07,379.95001220703125,24.350000381469727,22.49825310817076,24.468480458663333,26.712862627717467,-2.36286224624774,-2.178142046944988
2022-11-08,382.0,25.540000915527344,21.1887506335272,24.257691562432612,26.70984289199845,-1.1698419764711048,-1.7109701063965392
2022-11-09,374.1300048828125,26.09000015258789,23.113686091363242,25.577529501661793,26.91942205042742,-0.8294218978395307,-1.5519919406303913
2022-11-10,394.69000244140625,23.530000686645508,34.96932600751233,30.13202074506677,30.133052948385192,-6.603052261739684,-3.1060462142675576
2022-11-11,398.510009765625,22.520000457763672,33.59521580325891,28.545175953283035,29.693627716154015,-7.1736272583903435,-2.982152405058746
2022-11-14,395.1199951171875,23.729999542236328,33.69445136957891,27.96274894324967,29.13186304235419,-5.401863500117862,-2.340535205083008
2022-11-15,398.489990234375,24.540000915527344,33.61045098526664,27.86992087599245,28.006753364927413,-3.4667524494000688,-1.7492566149539948
2022-11-16,395.45001220703125,24.110000610351562,30.688136941114667,27.8968965220526,28.11308690888909,-4.003086298537529,-1.7995344868725562
2022-11-17,394.239990234375,23.93000030517578,29.93609246143586,27.668420776658426,27.928630125909276,-3.9986298207334947,-1.71992637483156
2022-11-18,396.0299987792969,23.1200008392334,29.620131317518695,26.678352846725762,26.484091234742195,-3.3640903955087964,-1.5085018859594794
2022-11-21,394.5899963378906,22.360000610351562,29.78765843628081,26.54125642517075,26.37360915946223,-4.013608549110668,-1.5961006933115438
2022-11-22,399.8999938964844,21.290000915527344,30.136541220614564,26.392383572393065,26.381279705872913,-5.091278790345569,-1.764874480937923
2022-11-23,402.4200134277344,20.350000381469727,26.97958657562086,26.200310430317792,26.308402918630186,-5.95840253716046,-1.870261955960671
2022-11-25,402.3299865722656,20.5,11.459977843958834,26.063796316341058,25.514846951704868,-5.014846951704868,-1.592061895574375
2022-11-28,395.9100036621094,22.209999084472656,13.46624023157397,25.708101910673015,24.985441099262673,-2.7754420147900163,-1.0640591252355587
2022-11-29,395.2300109863281,21.889999389648438,12.836272812391517,25.55857632579761,24.16231015904562,-2.2723107693971833,-0.9231374541923159
2022-11-30,407.67999267578125,20.579999923706055,19.388034938911247,27.455879856440585,25.377800552350706,-4.7978006286446515,-1.4217364280889597
2022-12-01,407.3800048828125,19.84000015258789,18.76412621975654,25.50436490857986,25.226225014177146,-5.386224861589255,-1.4893533765760276
2022-12-02,406.9100036621094,19.059999465942383,18.630840902913633,25.039435261948384,25.025760370494517,-5.965760904552134,-1.5485558003458737
2022-12-05,399.5899963378906,20.75,21.17016098002324,25.9593613434529,25.01925866070608,-4.269258660706079,-1.1536003754060478
2022-12-06,393.8299865722656,22.170000076293945,22.35807220556819,26.524349471903335,25.27898177669256,-3.1089817003986155,-0.8828296226221777
2022-12-07,393.1600036621094,22.68000030517578,21.175419544279194,26.516870158576307,24.922498220211523,-2.2424979150357416,-0.6795259589971313
2022-12-08,396.239990234375,22.290000915527344,21.33176646783702,25.31143443545629,24.87886560253285,-2.5888646870055076,-0.7287015133626692
2022-12-09,393.2799987792969,22.829999923706055,21.4986582051839,17.545200378308586,24.933882829747194,-2.1038829060411395,-0.6073120622906582
2022-12-12,398.95001220703125,25.0,21.45206450256179,17.945327196463452,24.372289517783468,0.627710482216532,-0.029954809756122195
2022-12-13,401.9700012207031,22.549999237060547,21.63439451355335,17.836788244930975,24.32428452852901,-1.7742852914684626,-0.5125100486992846
2022-12-14,399.3999938964844,21.139999389648438,15.251527647653843,17.77849341243575,24.37116969154536,-3.231170301896924,-0.7889096290636295
2022-12-15,389.6300048828125,22.829999923706055,18.644943112727606,19.611603547378397,24.311964559488892,-1.4819646357828375,-0.40558825955985117
2022-12-16,383.2699890136719,22.6200008392334,19.372488443134156,20.345224460561035,24.61791609691608,-1.9979152576826813,-0.49147565827441286
2022-12-19,380.0199890136719,22.420000076293945,18.364550481652753,20.3658723605303,24.44738688401461,-2.0273868077206636,-0.4725881836573438
2022-12-20,380.5400085449219,21.479999542236328,17.84511898853586,20.390668070310447,24.29970371451024,-2.8197041722739122,-0.6191635740884507
2022-12-21,386.2300109863281,20.06999969482422,19.873450012726916,20.53485071243842,24.62141241428527,-4.551412719461052,-0.9932324857534757
2022-12-22,380.7200012207031,21.969999313354492,19.984409391024958,20.76019537390573,24.220668000744748,-2.250668687390256,-0.42842314274157783
2022-12-23,382.9100036621094,20.8700008392334,20.389598193715923,20.953838686014876,18.635513947532914,2.2344868917004845,0.7065912467982209
2022-12-27,381.3999938964844,21.649999618530273,18.30377611217054,20.373132667642786,18.384213494140774,3.2657861243895,1.0261441413568368
2022-12-28,376.6600036621094,22.139999389648438,17.45067698819932,20.702416016016226,18.546370686270887,3.5936287033775507,1.1323639808445591
2022-12-29,383.44000244140625,21.440000534057617,20.953248617878494,18.395925967109687,19.154736249847183,2.2852642842104345,0.7926896386695647
2022-12-30,382.42999267578125,21.670000076293945,17.87092222996694,18.377349185739035,19.067614608109505,2.6023854681844405,0.8753585971300966
2023-01-03,380.82000732421875,22.899999618530273,16.2273897263843,18.365788354255372,19.08035512227435,3.819644496255922,1.203433532611788
2023-01-04,383.760009765625,22.010000228881836,16.080331512550718,17.905402976416397,19.180438198424955,2.8295620304568807,0.9603794862870687
2023-01-05,379.3800048828125,22.459999084472656,17.13165272371526,17.667288985062203,19.3981967072684,3.0618023772042555,1.075912103694159
2023-01-06,388.0799865722656,21.1299991607666,19.16216849083291,19.60301837275415,20.15610389629361,0.9738952644729899,0.5652250420952328
2023-01-09,387.8599853515625,21.969999313354492,17.524736801923027,19.36061166037461,20.042422025593407,1.9275772877610855,0.9352256069688993
2023-01-10,390.5799865722656,20.579999923706055,17.604552839959243,19.403149272353122,20.177698959275283,0.402300964430772,0.5035268967842302
2023-01-11,395.5199890136719,21.09000015258789,17.955608103528082,19.24573134461858,20.028256496697637,1.061743655890254,0.7624749677474284
2023-01-12,396.9599914550781,18.829999923706055,15.817244936254193,19.088613722041227,20.04847994361136,-1.2184800199053036,0.0261712416176012
2023-01-13,398.5,18.350000381469727,14.345599628350906,19.02733541614509,17.916521042866943,0.4334793386027833,0.6049826255996816
2023-01-17,397.7699890136719,19.360000610351562,14.258789147660147,16.808338937783002,17.919131537295378,1.4408690730561844,0.971456151594271
2023-01-18,391.489990234375,20.34000015258789,16.80425335243835,16.737922411458822,18.43023607042121,1.9097640821666815,1.140220757062065
2023-01-19,388.6400146484375,20.520000457763672,17.209010608807368,16.655763564194377,17.846407975605146,2.6735924821585257,1.3878475485941522
2023-01-20,395.8800048828125,19.850000381469727,17.52561499853294,17.70409909626277,18.20683888133025,1.6431615001394775,1.030044244732215
2023-01-23,400.6300048828125,19.809999465942383,15.283901240848976,17.46431702263721,18.500774381271885,1.3092250846704978,0.9286303275153032
2023-01-24,400.20001220703125,19.200000762939453,15.317104749358778,16.489013291197672,18.384110601546272,0.815890161393181,0.7611532749895893
2023-01-25,400.3500061035156,19.079999923706055,15.221027078371518,16.460547098122234,18.238764933944292,0.8412349897617624,0.7769154378503504
2023-01-26,404.75,18.729999542236328,14.96500070557687,16.561683064046793,18.049442930620373,0.6805566116159554,0.7091516349210506
2023-01-27,405.67999267578125,18.510000228881836,14.948649008647863,15.581588905899608,17.938634131881294,0.5713660970005421,0.6617230606108285
2023-01-30,400.5899963378906,19.940000534057617,16.464109623161974,15.665720491985905,18.21926829332468,1.7207322407329357,1.0396773819779475
2023-01-31,406.4800109863281,19.399999618530273,17.68543791482986,16.124837100833197,17.126675448205418,2.2733241703248552,1.1967054522929126
2023-02-01,410.79998779296875,17.8700008392334,15.18308727911251,16.096756542321167,16.477389287453782,1.3926115517796163,0.8736278051223685
2023-02-02,416.7799987792969,18.729999542236328,14.317025416879748,16.468937289221927,16.509334236466312,2.220665305770016,1.1181515613319861
2023-02-03,412.3500061035156,18.329999923706055,15.138565382817873,16.37627379311411,16.96522167319984,1.364778250506216,0.8068442596755223
2023-02-06,409.8299865722656,19.43000030517578,15.220924866094732,15.269623829479093,16.753176379395775,2.676823925780006,1.208654168437153
2023-02-07,415.19000244140625,18.65999984741211,15.901228124295773,15.617894335237107,16.319436342123705,2.3405635052884044,1.0697400790920113
2023-02-08,410.6499938964844,19.6299991607666,17.35199750116032,16.32142120877079,16.764604453277027,2.8653947074895747,1.2105824085731716
2023-02-09,407.0899963378906,20.709999084472656,17.478904657687963,16.328440942649415,16.96785113690561,3.7421479475670445,1.4725465232558455
2023-02-10,408.0400085449219,20.530000686645508,17.479802174970548,16.312609516276954,16.40716224321165,4.1228384434338565,1.551521878650221
2023-02-13,412.8299865722656,20.34000015258789,16.664724807646543,16.681892073871225,16.017466841346316,4.322533311241575,1.556747437881048
2023-02-14,412.6400146484375,18.90999984741211,15.530741345296201,16.651288689647085,15.971190916859406,2.938808930552703,1.0562143907465356
2023-02-15,413.9800109863281,18.229999542236328,14.828739089969778,15.34631504238981,15.847220272687204,2.3827792695491237,0.8393863849618035
2023-02-16,408.2799987792969,20.170000076293945,14.370032032221289,16.04206433037418,16.464815441903628,3.705184634390317,1.2462650176857288
2023-02-17,407.260009765625,20.020000457763672,13.642224716143641,15.015382739806535,16.03769692901568,3.982303528747991,1.2974714865614452
2023-02-21,399.0899963378906,22.8700008392334,16.31701831031136,16.25570019894271,16.137248250049982,6.732752589183416,2.139370730053667
2023-02-22,398.5400085449219,22.290000915527344,14.132735252303535,16.258127691261585,16.145243409646397,6.144757505880946,1.8901646111416817
2023-02-23,400.6600036621094,21.139999389648438,14.258024008796472,16.369499789043847,16.099034996368626,5.040964393279811,1.4775456167171523
2023-02-24,396.3800048828125,21.670000076293945,14.512961560800496,16.26938931912504,16.043789534966066,5.626210541327879,1.6139034540564277
2023-02-27,397.7300109863281,20.950000762939453,14.61430218314343,16.30242913943261,16.039561753583424,4.910439009356029,1.3230916260158456
2023-02-28,396.260009765625,20.700000762939453,12.52696156600715,15.783956993676417,16.033759496833305,4.666241266106148,1.2124196949409243
2023-03-01,394.739990234375,20.579999923706055,12.38226525835254,14.814949361987532,16.061290116206848,4.5187098074992065,1.1426692801911584
2023-03-02,397.80999755859375,19.59000015258789,13.242151841563787,14.555755435398993,15.529934951584185,4.060065201003706,0.9691591707102338
2023-03-03,404.19000244140625,18.489999771118164,15.104869899479754,14.765735891900558,15.948902234862064,2.5410975362560997,0.3693681685200795
2023-03-06,404.4700012207031,18.610000610351562,15.101815195173987,14.397269371913593,15.126450993886323,3.4835496164652398,0.7134320847730489
2023-03-07,398.2699890136719,19.59000015258789,13.63064236404598,15.159185612183945,15.430384289914231,4.159615862673659,0.9555503269317193
2023-03-08,398.9200134277344,19.110000610351562,13.640713533269642,14.281182061614212,15.436718899824363,3.673281710527199,0.731821709805855
2023-03-09,391.55999755859375,22.610000610351562,15.908734297351051,15.106513985988624,16.31132119720309,6.298679413148474,1.7641474097248864
2023-03-10,385.9100036621094,24.799999237060547,16.5075789941681,15.54230300099016,16.39472832876284,8.405270908297705,2.4581917029248475
2023-03-13,385.3599853515625,26.520000457763672,16.21730825247419,15.44398054157563,16.354921097062807,10.165079360700865,2.9077034015052616
2023-03-14,391.7300109863281,23.729999542236328,18.684407997214876,16.077513768919342,16.81260865272965,6.917390889506677,1.6550390386048184
2023-03-15,389.2799987792969,26.139999389648438,18.808158656709654,16.10476578703829,16.255472097089786,9.884527292558651,2.601578991744381
2023-03-16,396.1099853515625,22.989999771118164,20.476404024586536,17.472422878858602,16.786460869722656,6.203538901395508,1.226109923881712
2023-03-17,389.989990234375,25.510000228881836,19.61677100711949,17.625184976460098,16.612062067176222,8.897938161705614,2.1296031510003557
2023-03-20,393.739990234375,24.149999618530273,20.537529038961146,18.095596803853038,16.7465986300829,7.403400988447373,1.5522850678255
2023-03-21,398.9100036621094,21.3799991607666,20.559498557104412,17.44500512649074,17.19058200022224,4.189417160544362,0.32473000228927684
2023-03-22,392.1099853515625,22.260000228881836,22.115865660162974,18.430154431419385,17.293010705213405,4.966989523668431,0.6142586544109931
2023-03-23,393.1700134277344,22.610000610351562,20.263397558590107,18.34300311029851,17.127954037431916,5.482046572919646,0.8049607264977643
2023-03-24,395.75,21.739999771118164,18.777601594923922,18.153516944105334,17.136375474748235,4.603624296369929,0.42794688217333793
2023-03-27,396.489990234375,20.600000381469727,18.66845177652602,18.12423231751234,17.129456524865077,3.4705438566046496,-0.04402245106056647
2023-03-28,395.6000061035156,19.969999313354492,17.32171891643936,18.09531494097645,16.721872086724808,3.248127226629684,-0.14385921114015582
2023-03-29,401.3500061035156,19.1200008392334,17.93143615028162,18.710870964747205,17.321341751474872,1.7986590877585265,-0.74208130308282
2023-03-30,403.70001220703125,19.020000457763672,16.380144090435383,18.633448283656545,17.389463823017913,1.6305366347457593,-0.7927714936510499
2023-03-31,409.3900146484375,18.700000762939453,14.361854077238725,18.44784732886435,17.448540983219072,1.2514597797203812,-0.9328078992787049
2023-04-03,410.95001220703125,18.549999237060547,14.145716452246171,18.48034714874472,17.46235699734954,1.0876422397110055,-0.9789797169718056
