date,spot,iv,z,signal,signal_compact,pnl,cum_pnl
2015-05-12,209.97999572753903,13.859999656677246,1.1817440844566516,NEUTRAL,NEUTRAL,,
2015-05-13,210.02000427246097,13.760000228881836,1.3523712048405598,NEUTRAL,,0.00019051688115734322,0.00019051688115734322
2015-05-14,212.2100067138672,12.739999771118164,0.2831682479981527,NEUTRAL,,0.01037359743984112,0.010564114320998463
2015-05-15,212.44000244140625,12.380000114440918,-3.1819929859977673e-05,NEUTRAL,,0.0010832249856100873,0.01164733930660855
2015-05-18,213.1000061035156,12.729999542236328,0.3552135201308028,NEUTRAL,,0.0031019606997135796,0.01474930000632213
2015-05-19,213.02999877929688,12.850000381469728,0.472287025774081,NEUTRAL,,-0.00032857261420815576,0.014420727392113974
2015-05-20,212.8800048828125,12.880000114440918,0.4865436835647416,NEUTRAL,,-0.0007043455255608677,0.013716381866553107
2015-05-21,213.5,12.109999656677246,-0.153029807635967,NEUTRAL,,0.0029081830623214344,0.01662456492887454
2015-05-22,212.9900054931641,12.130000114440918,-0.1001362097952874,NEUTRAL,,-0.0023915906274574183,0.014232974301417123
2015-05-26,210.6999969482422,14.0600004196167,1.160749427908551,NEUTRAL,,-0.010809935714979346,0.0034230385864377766
2015-05-27,212.6999969482422,13.270000457763672,0.148047797516263,NEUTRAL,,0.009447401532239219,0.012870440118676996
2015-05-28,212.4600067138672,13.3100004196167,0.2217461087526557,NEUTRAL,,-0.0011289409059971334,0.011741499212679862
2015-05-29,211.13999938964844,13.84000015258789,0.529348542561811,NEUTRAL,,-0.006232349281678928,0.005509149931000934
2015-06-01,211.57000732421875,13.970000267028809,1.132197617421097,NEUTRAL,,0.002034529942838148,0.007543679873839082
2015-06-02,211.36000061035156,14.239999771118164,1.6042873162900584,SELL_VOL,SELL_VOL,-0.0004965519759472237,0.007047127897891858
2015-06-03,211.9199981689453,13.65999984741211,1.0605114932078288,NEUTRAL,NEUTRAL,0.0026459926617539153,0.009693120559645774
2015-06-04,210.1300048828125,14.710000038146973,1.7231722220846049,SELL_VOL,SELL_VOL,-0.0042412131404105935,0.00545190741923518
2015-06-05,209.77000427246097,14.210000038146973,1.3219269809429663,NEUTRAL,NEUTRAL,-0.0017146972646244762,0.003737210154610704
2015-06-08,208.47999572753903,15.289999961853027,2.0408825264706474,SELL_VOL,SELL_VOL,-0.0030843099474542335,0.0006529002071564705
2015-06-09,208.4499969482422,14.470000267028809,1.3911000590735212,NEUTRAL,NEUTRAL,-0.00014390319658286188,0.0005089970105736086
2015-06-10,210.9499969482422,13.220000267028809,-0.0798266908026786,NEUTRAL,,0.011921934417046032,0.01243093142761964
2015-06-11,211.6300048828125,12.850000381469728,-0.3376338287324198,NEUTRAL,,0.003218365841151538,0.01564929726877118
2015-06-12,210.0099945068359,13.779999732971191,0.560688071959003,NEUTRAL,,-0.007684367470106146,0.007964929798665032
2015-06-15,209.11000061035156,15.390000343322754,2.1018061361135776,SELL_VOL,SELL_VOL,-0.0021473451285718426,0.00581758467009319
2015-06-16,210.25,14.8100004196167,1.5058137443314128,SELL_VOL,,0.0027184333177716624,0.008536017987864852
2015-06-17,210.58999633789065,14.5,1.645971447383629,SELL_VOL,,0.0008078994744353807,0.009343917462300233
2015-06-18,212.77999877929688,13.1899995803833,0.3768457982536164,NEUTRAL,NEUTRAL,0.010345664549365807,0.01968958201166604
2015-06-19,210.80999755859375,13.960000038146973,0.6824098231598331,NEUTRAL,,-0.009301520060152058,0.010388061951513983
2015-06-22,211.88999938964844,12.739999771118164,0.2415809740038571,NEUTRAL,,0.005110026917287236,0.015498088868801219
2015-06-23,212.0399932861328,12.109999656677246,-0.1452893209983834,NEUTRAL,,0.0007076352479646886,0.016205724116765907
2015-06-24,210.5,13.260000228881836,0.5655895372327696,NEUTRAL,,-0.007289251333958191,0.008916472782807716
2015-06-25,209.86000061035156,14.010000228881836,1.08288718927538,NEUTRAL,,-0.003045008484296119,0.005871464298511597
2015-06-26,209.82000732421875,14.020000457763672,1.4315948019226032,NEUTRAL,,-0.00019058942764793585,0.005680874870863661
2015-06-29,205.4199981689453,18.850000381469727,3.2901788611573872,SELL_VOL,SELL_VOL,-0.010596700193272746,-0.004915825322409084
2015-06-30,205.8500061035156,18.229999542236328,2.664359392326186,SELL_VOL,,0.001045561521136662,-0.003870263801272422
2015-07-01,207.5,16.09000015258789,1.075200630708591,NEUTRAL,NEUTRAL,0.007983561804533856,0.004113298003261434
2015-07-02,207.30999755859375,16.790000915527344,1.4581117532447572,NEUTRAL,,-0.0009160939023287185,0.0031972041009327157
2015-07-06,206.72000122070312,17.010000228881836,1.5687222749721166,SELL_VOL,SELL_VOL,-0.0014250096345418406,0.001772194466390875
2015-07-07,208.02000427246097,16.09000015258789,0.8557369518865027,NEUTRAL,NEUTRAL,0.006269022964349169,0.008041217430740044
2015-07-08,204.52999877929688,19.65999984741211,2.5730918331855817,SELL_VOL,SELL_VOL,-0.008459795720974217,-0.0004185782902341728
2015-07-09,204.8999938964844,19.969999313354492,2.765790564630859,SELL_VOL,,0.0009036837176670254,0.00048510542743285257
2015-07-10,207.47999572753903,16.829999923706055,0.5447836625345182,NEUTRAL,NEUTRAL,0.01251290343396505,0.012998008861397903
2015-07-13,209.77000427246097,13.899999618530272,-1.431863465033996,NEUTRAL,,0.01097678388701695,0.023974792748414853
2015-07-14,210.67999267578125,13.369999885559082,-1.7682862532876515,BUY_VOL,BUY_VOL,0.004328647072469494,0.028303439820884346
2015-07-15,210.61000061035156,13.229999542236328,-1.8367545946434451,BUY_VOL,,-0.0003322749991179208,0.027971164821766425
2015-07-16,212.3000030517578,12.109999656677246,-2.5177776099324607,BUY_VOL,,0.007992298232543327,0.03596346305430975
2015-07-17,212.47999572753903,11.949999809265137,-2.361129600687928,BUY_VOL,,0.0008474630965249474,0.0368109261508347
