upper,lower,stop_loss_pct,profit_target_pct,Sharpe,TotalRet,MaxDraw,WinRate
1.1,0.6,0.5,0.05,7.846662552398606,41519.90947284116,2182.1836804124323,0.7638190954773869
1.1,0.6,0.5,0.1,7.846662552398606,41519.90947284116,2182.1836804124323,0.7638190954773869
1.1,0.6,0.5,0.2,7.846662552398606,41519.90947284116,2182.1836804124323,0.7638190954773869
1.1,0.6,1.0,0.05,7.825920406916324,41492.60272613156,2279.7880703885603,0.7638190954773869
1.1,0.6,1.0,0.1,7.825920406916324,41492.60272613156,2279.7880703885603,0.7638190954773869
1.1,0.6,1.0,0.2,7.825920406916324,41492.60272613156,2279.7880703885603,0.7638190954773869
1.1,0.6,1.5,0.05,8.712101831235401,43911.274330072556,2230.324480706993,0.7638190954773869
1.1,0.6,1.5,0.1,8.712101831235401,43911.274330072556,2230.324480706993,0.7638190954773869
1.1,0.6,1.5,0.2,8.712101831235401,43911.274330072556,2230.324480706993,0.7638190954773869
1.1,0.7,0.5,0.05,2.922702798188638,20780.5603501138,3124.9281114996775,0.6440677966101694
1.1,0.7,0.5,0.1,2.922702798188638,20780.5603501138,3124.9281114996775,0.6440677966101694
1.1,0.7,0.5,0.2,2.922702798188638,20780.5603501138,3124.9281114996775,0.6440677966101694
1.1,0.7,1.0,0.05,2.9431300901780517,20917.294715444583,3046.4578000050024,0.6440677966101694
1.1,0.7,1.0,0.1,2.9431300901780517,20917.294715444583,3046.4578000050024,0.6440677966101694
1.1,0.7,1.0,0.2,2.9431300901780517,20917.294715444583,3046.4578000050024,0.6440677966101694
1.1,0.7,1.5,0.05,3.8108409467521573,25642.292394330732,2499.8990987712677,0.6440677966101694
1.1,0.7,1.5,0.1,3.8108409467521573,25642.292394330732,2499.8990987712677,0.6440677966101694
1.1,0.7,1.5,0.2,3.8108409467521573,25642.292394330732,2499.8990987712677,0.6440677966101694
1.1,0.8,0.5,0.05,0.3359742290013626,2811.851628764748,5692.749538912432,0.5650557620817844
1.1,0.8,0.5,0.1,0.3359742290013626,2811.851628764748,5692.749538912432,0.5650557620817844
1.1,0.8,0.5,0.2,0.3359742290013626,2811.851628764748,5692.749538912432,0.5650557620817844
1.1,0.8,1.0,0.05,0.3093565947518072,2596.334754643064,5711.883617393885,0.5650557620817844
1.1,0.8,1.0,0.1,0.3093565947518072,2596.334754643064,5711.883617393885,0.5650557620817844
1.1,0.8,1.0,0.2,0.3093565947518072,2596.334754643064,5711.883617393885,0.5650557620817844
1.1,0.8,1.5,0.05,1.0478932367717704,8386.217276173622,4002.153802849947,0.5650557620817844
1.1,0.8,1.5,0.1,1.0478932367717704,8386.217276173622,4002.153802849947,0.5650557620817844
1.1,0.8,1.5,0.2,1.0478932367717704,8386.217276173622,4002.153802849947,0.5650557620817844
1.2,0.6,0.5,0.05,4.939721285229233,22033.85990686448,2949.1996496671236,0.6967741935483871
1.2,0.6,0.5,0.1,4.939721285229233,22033.85990686448,2949.1996496671236,0.6967741935483871
1.2,0.6,0.5,0.2,4.939721285229233,22033.85990686448,2949.1996496671236,0.6967741935483871
1.2,0.6,1.0,0.05,4.923118783319036,22006.553160154876,2870.7293381724485,0.6967741935483871
1.2,0.6,1.0,0.1,4.923118783319036,22006.553160154876,2870.7293381724485,0.6967741935483871
1.2,0.6,1.0,0.2,4.923118783319036,22006.553160154876,2870.7293381724485,0.6967741935483871
1.2,0.6,1.5,0.05,5.746820188673483,24425.22476409588,2461.1192594033746,0.6967741935483871
1.2,0.6,1.5,0.1,5.746820188673483,24425.22476409588,2461.1192594033746,0.6967741935483871
1.2,0.6,1.5,0.2,5.746820188673483,24425.22476409588,2461.1192594033746,0.6967741935483871
1.2,0.7,0.5,0.05,0.2159835884887847,1294.5107841370573,7068.631891195094,0.5625
1.2,0.7,0.5,0.1,0.2159835884887847,1294.5107841370573,7068.631891195094,0.5625
1.2,0.7,0.5,0.2,0.2159835884887847,1294.5107841370573,7068.631891195094,0.5625
1.2,0.7,1.0,0.05,0.2388517927218308,1431.2451494678426,7087.765969676546,0.5625
1.2,0.7,1.0,0.1,0.2388517927218308,1431.2451494678426,7087.765969676546,0.5625
1.2,0.7,1.0,0.2,0.2388517927218308,1431.2451494678426,7087.765969676546,0.5625
1.2,0.7,1.5,0.05,1.0846613586957818,6156.242828354003,5349.702076428801,0.5625
1.2,0.7,1.5,0.1,1.0846613586957818,6156.242828354003,5349.702076428801,0.5625
1.2,0.7,1.5,0.2,1.0846613586957818,6156.242828354003,5349.702076428801,0.5625
1.2,0.8,0.5,0.05,-2.363456238533759,-16674.19793721197,17400.001866745053,0.48
1.2,0.8,0.5,0.1,-2.363456238533759,-16674.19793721197,17400.001866745053,0.48
1.2,0.8,0.5,0.2,-2.363456238533759,-16674.19793721197,17400.001866745053,0.48
1.2,0.8,1.0,0.05,-2.3869121623540916,-16889.714811333655,17634.194749992927,0.48
1.2,0.8,1.0,0.1,-2.3869121623540916,-16889.714811333655,17634.194749992927,0.48
1.2,0.8,1.0,0.2,-2.3869121623540916,-16889.714811333655,17634.194749992927,0.48
1.2,0.8,1.5,0.05,-1.6441352490792147,-11099.8322898031,11959.174320133014,0.48
1.2,0.8,1.5,0.1,-1.6441352490792147,-11099.8322898031,11959.174320133014,0.48
1.2,0.8,1.5,0.2,-1.6441352490792147,-11099.8322898031,11959.174320133014,0.48
1.3,0.6,0.5,0.05,1.8397692618007437,6776.416088808619,5622.120240809303,0.6115702479338843
1.3,0.6,0.5,0.1,1.8397692618007437,6776.416088808619,5622.120240809303,0.6115702479338843
